country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
Japan,,,Aokigahara Fuketsu No. 2,,,,,,142,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=36,,
Samoa,,Savaii Island,Aopo Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=170,,
United States of America,California; San Bernardino,Pisgah,AP,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=284,,
United States of America,Washington; Skamania County,Mount St. Helens,Ape Cave,,,,,,3983,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1691,,
United States of America,Washington; Skamania County,,Apple Cave,,,,,,61,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1621,,
United States of America,Hawaii,Hawaii Island; Kilauea,Apua Cave,,,,,,1340,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=783,,
Australia,Queensland,,Arch,,,,,,11,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1370,,
United States of America,California; Siskiyou County,,Arch Cave,,,,,,100,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=557,,
United States of America,Washington; Skamania County,Mount St. Helens,Arch Cave,,,,,991,30,,,basalt,lava tunnel,,age of flow is 1900yrs,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1692,,
United States of America,California; Siskiyou County,,Arch Sunk Cave,,,,,,46,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=543,,
United States of America,Hawaii; North Kona District,Hawaii Island,Archies Cave,,,,,,348,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=768,,
